Name,Imported table,Total
Associate Justice,"Greg Guidry,Jeffrey P. Victory,Jeannette Theriot Knoll,Marcus R. Clark,Catherine D.Kitty Kimball,John L. Weimer,Bernette Joshua Johnson",7
Judge,"Bob Downing,Mike McDonald,Jewel E.Duke Welch,John Michael Guidry,John T. Pettigrew,Edward J. Jimmy Gaidry,Randolph Randy Parro,Vanessa Guidry-Whipple,James E.Jimmy Kuhn,Page McClendon,Jefferson Davis Hughes,Burrell J. Carter,Felicia Toney Williams,John Larry Lolley,Milton Moore,James Jay Caraway,""R. Harmon Drew, Jr."",""Henry N. Brown, Jr."",""James E. Stewart, Sr."",Charles B. Peatross,Gay Gaskins,Elizabeth A. Pickett,Jimmie C. Peters,Shannon James Gremillion,Ulysses Gene Thibodeaux,Joseph David Painter,Billy H. Ezell,John Saunders,Sylvia R. Cooks,Oswald Decuir,Marc Amy,David Ellis Chatelain,Jimmy Genovese,Roland L. Belsome,""James F. McKay, III"",Edwin A. Lombard,Paul A. Bonin,""Dennis R. Bagneris, Sr."",""Max N. Tobias, Jr."",Terri Love,Pattie Murray,Joan Bernard Armstrong,Charles R. Jones,Michael E.Mike Kirby,David S. Gorbaty,Marc E. Johnson,Fredericka Homberg Wicker,Susan M. Chehardy,Marion F. Edwards,Walter J.Wally Rothschild,Clarence E. McManus,Jude G. Gravois,""Edward A. Dufresne, Jr."",Ramona Emanuel,Leon L. Emanuel,""John Mosely, Jr."",Ramon Lafitte,Scott J. Crichton,Jeanette G. Garrett,Craig Marcotte,Robert P. Bobby Waddell,Mike Pitman,Frances Pitman,Roy L. Brun,Jenifer Ward Clason,Jimmy Teat,Glenn Fallin,Cynthia Woodard,R. Wayne Smith,Jay B. McCallum,Carl Sharp,Benjamin Jones,Alvin R. Sharp,Robert C. Johnson,Scott Leehy,Sharon Ingram Marchman,John Wilson Rambo,Stephens Winters,Fred Amman,Wendell Manning,Daniel Joseph Ellender,Terry A. Doughty,James M. Jimbo Stephens,Rudy McIntyre,Michael E. Lancaster,John D. Crigler,Kathy Johnson,Leo Boothe,Jacque Derr,Donald Johnson,""George C. Metoyer, Jr."",Thomas Tom Yeager,Mary Lauve Doggett,John C. Davidson,Patricia Evans Koch,Harry F. Randow,Rick Harrington,Dee A. Hawthorne,Stephen Beasley,Mark Jeansonne,William J.Billy Bennett,J. Larry Vidrine,Thomas Tom Fuselier,Lilynn Cutrer,Wilford D. Carter,Ron Ware,Clayton Davis,Guy Bradberry,Robert L. Wyatt,Michael Mike Canaday,D. Kent Savoie,David Ritchie,Jules D. Edwards,Ed Rubin,Herman Clause,David A. Blanchet,Thomas Duplantier,""Patrick Louis Rick Michot, Sr."",Marilyn C. Castle,Phyllis Montgomery Keaty,John D. Trahan,Glenn Everett,Kristian D. Earles,Ed Broussard,Durwood Conque,Charles L. Porter,Lori A. Landry,Gerard B. Wattigny,Paul deMahy,John E. Conery,James R. McClelland,Keith Comeaux,""Edward Ed Leonard, Jr."",John LeBlanc,""Jerome J.Jerry Barbera, III"",""Walter I. Lanier, III"",Bruce Simpson,F. Hugh Buddy Larose,""Alvin Batiste, Jr."",William C. Dupont,J. Robin Free,James J. Best,Donald Don Johnson,Janice Clark,Trudy White,Bonnie Jackson,Wilson Fields,Todd Hernandez,Richard D. Anderson,Mike Erwin,Kay Bates,""Richard Chip Moore, III"",Louis R. Daniel,William Morvant,Tim Kelley,""Anthony J. Tony Marabella, Jr."",R. Michael Caldwell,Hal Ware,William G. Carmichael,Wayne Ray Chutz,Bruce C. Bennett,""Robert H.Bob Morrison, III"",Milton D. Doug Hughes,Brenda Bedsole Ricks,Elizabeth Beth Wolfe,""Ernest Ernie Drake, Jr."",Zorraine M. Zoey Waguespack,Blair Downing Edwards,Ray Childress,A. J. Hand,Richard Rick Swartz,Peter J. Garcia,William J. Bill Burris,Martin E. Coady,William J. Will Crain,""Allison Hopkins Penzato,"",Reginald T. Badeaux,William Rusty Knight,Mary Clemence Devereux,Dawn Amacker,""Alvin Turner, Jr."",Ralph Tureau,Tom Kliebert,Guy Holdridge,Jane Triche-Milazzo,""Robert A. Bob Pitre, Jr."",Ross P. LaDart,""William C. Credo,"",Robert M. Murphy,Patrick J. McCabe,Hans J. Liljeberg,Ellen Shirer Kovach,""Donald A. Donnie Rowan, Jr."",Glenn B. Ansardi,Nancy A. Miller,June Berry Darensburg,""Lee V. Faulkner, Jr."",Stephen J. Steve Windhorst,""Henry G. Sullivan, Jr."",Cornelius E. Conn Regan,""John J. Molaison, Jr."",Kevin Conner,Joyce Cossich Joy Lobrano,Michael Mike Craig,""Ford E. Stinson, Jr."",Jeff Cox,John M. Robinson,Bruce Bolin,Parker Self,Alonzo Harris,""James P.Jim Doherty, Jr."",Donald W. Hebert,Ellis J. Daigle,J. Christopher Peters,Emile R. St. Pierre,Lauren Lemmon,Robert A. Chaisson,Vernon B. Clark,John Ford,James R.Jim Mitchell,Steve Gunnell,""George J. Larke, Jr."",John R. Walker,Timothy C. Ellender,David W. Arceneaux,Randall L.Randy Bethancourt,Joel Davis,Patricia Cole,Robert A.Bob Buckley,Manuel A. Manny Fernandez,Robert J. Klees,Perry Nicosia,Kirk A. Vaughn,Jacques A. Sanborn,Warren Daniel Danny Willett,Martha Ann O'Neal,Kerry Anderson,Don C. Burns,Penelope Quinn Richard,Lewis O. Sams,Mary Hotard Becnel,Madeline Jasmine,Sterling Snowdy,Robert E. Burgess,Charles B. Adams,Tiffany Gautier Chase,Rose Ledet,""Sidney H. Cates, IV"",""Lloyd J. Medley, Jr."",Madeleine M. Landrieu,Christopher Chris Bruno,Robin Giarrusso,Michael G. Bagneris,Piper Griffin,Paula Brown,""James M. Williams,"",Herbert A. Cade,Kern A. Reese,Paulette Irons,Ethel Julien,Laurie White,Lynda Van Davis,Benedict J. Willard,Frank A. Marullo,Keva Landrum-Johnson,Robin Pittman,Julian A. Parker,Camille Buras,Karen Herman,Darryl Derbigny,Arthur Hunter,Terry Q. Alarcon,Gerard J. Hansen,Lynette Young Feucht,R. Lee Irvin,Bill Kelly,Pammela Lattier,Randy E. Collins,Marie Elise M'elise Trahan,""James M. Jim Cunningham, III"",Judi Abrusley,Marilyn M. Lambert,James H. Mixon,""Angelo Piazza, III"",""Thomas A. Tommy Wilson, Jr."",Shonda Stone,Paul Young,David Matlock,Charlie Schrumpf,Thomas P. Quirk,John S. Hood,""George C. Murray, Jr."",Kathleen Stewart Richey,Pam Taylor Johnson,Lisa Woodruff-White,Toni Higginbotham,Pam Baker,Annette Lassalle,Kirk A. Williams,Lonny Myles,Kelli Terrell Temple,Yvette M. Alexander,Laura Prosser Davis,Alex Brick Wall,Suzan S. Ponder,""Donald J. Launey, Jr."",Ann B. McIntyre,Cameron B. Simmons,Robert L. Segura,""Michael M. Distefano, Sr."",Rebecca M. Olivier,George W. Giacobbe,Roy M. Cascio,Stephen Steve Grefer,Ann Murry Keller,Andrea Price Janzen,Nancy Amato Konrad,Daniel Stretcher,Francie Bouillion,Douglas J. Saloom,Mark D. Chiasson,Danny W. Tatum,""Charles W. Chuck Borde, Jr."",Phillip M. Lester,Fred S. Gahagan,Ernestine S. Gray,Tammy Stewart,David L. Bell,""Lawrence L. Larry Lagarde, Jr."",Tracey Flemings-Davillier,Mark Doherty,Charles A. Imbornone,Angelique A. Reed,Sonja Spears,Mary K.K. Norman,Desiree M. Charbonnet,Sean Early,Joseph Joe Landry,Paul N. Sens,Dennis J. Dannel,""Robert E.Bobby Jones, III"",Mark J. Shea,Ronald J. Ron Sholes,Jim Norris,Tammy D. Lee,Fred Amman,Larry D. Jefferson,""Richard E. Starling, Jr."",Phillip Terrell,Vanessa Harris,Randy P. Angelle,Terry Breaux,Kim P. Stansbury,James Jim Lamz,Grace Bennett Gasaway,Jude Thaddeus Fanguy,Rick Putnam,Frank LeMoine,""Elvin Fontenot, Jr."",Robert J. Black,John C. Campbell,""John B. SLATTERY, Jr."",William T. Will Kleinpeter,Anastasia Staci Wiley",364
Public Service Commission,"Eric Skrmetta,Jimmy Field,""Lambert C. Boissiere, III"",Clyde C. Holloway,Foster Campbell",5
Member,"James Jim Garvey,Louella P. Givens,Glenny Lee C. Buquet,Walter C. Lee,Keith Guice,Charles E.Chas Roemer,Dale Bayard,Linda M. Johnson,Toby J. Aucoin,Michael O. Harrell,Donald E. Havard,Linton Manuel,Keith Mills",13
BESE,"James Jim Garvey,Louella P. Givens,Glenny Lee C. Buquet,Walter C. Lee,Keith Guice,Charles E.Chas Roemer,Dale Bayard,Linda M. Johnson",8
State Senator,"A.G. Crowe,Ann Duplessis,J.P. Morrell,Edwin Murray,""Karen Carter Peterson,"",Julie Quinn,David Heitmeier,""John A. Alario, Jr."",Conrad Appel,Daniel R.Danny Martiny,Jack Donahue,Ben Wayne Nevers,Dale Erdey,Yvonne Dorsey,Sharon Weston Broome,Dan Claitor,Robert Rob Marionneaux,Jody Amedee,""Joel T. Chaisson, II"",Norbert N. Chabert,Butch Gautreaux,Troy Hebert,Mike Michot,Elbert L. Guillory,Dan Blade Morrish,Nick Gautreaux,Willie L. Mount,Eric LaFleur,Joe McPherson,John Smith,Gerald Long,Neil Riser,Mike Walsworth,Francis Thompson,Robert W.Bob Kostelka,Robert Adley,B. L.Buddy Shaw,Sherri Smith Cheek,Lydia P. Jackson",39
State Representative,"James H.Jim Morris,Roy A. Burrell,Barbara Norton,Patrick C. Williams,Wayne Waddell,""Thomas Gaughan Carmody, Jr."",Richard Richie Burford,Jane H. Smith,Henry Burns,Jean Doerge,Rick Gallot,Hollis Downs,James R.Jim Fannin,Sam Little,Frank Hoffmann,Kay Kellogg Katz,Rosalind D. Jones,Major Thibaut,Charles R.Bubba Chaney,Noble Ellington,Andy Anders,Billy Chandler,Rick Nowlin,Frankie Howard,""Chris J. Roy, Jr."",Herbert B. Dixon,Chris Hazel,Robert Johnson,Regina Ashford Barrow,James Armes,Nancy Landry,Dorothy Sue Hill,Mike Danahay,A.B. Franklin,Brett Geymann,Chuck Kleckley,John E.Johnny Guinn,H. Bernard LeBas,Bobby G. Badon,Ledricka Johnson Thierry,Mickey J. Guillory,Jack Montoucet,Page Cortez,Rickey Hardy,Joel C. Robideaux,""Fred H. Mills, Jr."",Jonathan Perry,Taylor F. Barras,Simone Champagne,Sam Jones,Joe Harrison,Gordon Dove,Damon Baldone,Jerry Truck Gisclair,Jerome Dee Richard,""Gary L. Smith, Jr."",Nickie Monica,Elton M. Aubert,Eddie J. Lambert,Karen St. Germain,Michael Jackson,Thomas H.Tom McVea,Avon Honey,""Mack Bodi White, Jr."",Clif Richardson,Hunter Greene,Patricia Smith,Steve Carter,Erich Ponti,Franklin J. Foil,J. Rogers Pope,John Bel Edwards,Steve Pugh,Scott Simon,Harold L. Ritchie,Kevin Pearson,John M. Schroder,Kirk Talbot,Tony Ligi,Joseph Lopinto,""John F. Labruzzo, Jr."",Cameron Henry,Robert E. Billiot,Patrick Connick,Ricky J. Templet,Jim Tucker,""Girod Jackson, III"",""M.J. Mert Smiley, Jr."",Tim Burns,Greg Cromer,""Walt Leger, III"",Tom Willmott,Karen Carter,Nicholas J.Nick Lorusso,Walker Hines,Juan Lafonta,Jared Brossett,Neil Abramson,Charmaine L. Marchand,Austin Badon,Cedric L. Richmond,Jeffery Jeff Arnold,Reed S. Henderson,Nita Hutter,Ernest Durham Wooton",105
District Attorney,"Charles Rex Scott,Jonathan M. Stewart,Robert W. Levy,Jerry L. Jones,""William R. Billy Coenen, Jr."",James E. Paxton,Bradley R. Burget,R. C. Chris Nevils,James C. Jam Downs,Van H. Kyzar,Don M. Burkett,""Charles Charlie Riddle, III"",Trent Brignac,John DeRosier,Michael Harson,J. Phil Haney,""Camille A.Cam Morvant, II"",""Richard J. Ricky Ward, Jr."",Hillar Moore,Sam D'Aquilla,Scott M. Perrilloux,Walter P. Reed,Ricky Babin,""Paul D. Connick, Jr."",Charles J. Ballay,Schuyler Marvin,Earl Taylor,Reed Walters,""Harry J. Morel, Jr."",Asa Skinner,Michael C. Cassidy,""Joe Waitz, Jr."",H. Todd Nesom,John F. Jack Rowley,James P. Jay Lemoine,David Burton,W. Mark McKee,Cecil R. Sanner,Julie C. Jones,Thomas Tom Daley,""Richard Z. Johnson, Jr."",""Leon A. Cannizzaro, Jr.""",42
Marshal,"Terry J. Darbonne,Charlie Caldwell,Glenn J. Deville,Alex Joe Lacroix,Chad Doyle,Fred Carmouche,Floyd Voinche,David Blanchard,Johnny Wyatt,Richard Stanford,Joey Alcede,Billy Guidry,Russell Mills,Jim Boren,Fred Allen,Ronald T Doucet,Bruce McCarthy,Fernest Pacman Martin,Victor Vic Delcambre,S.J. Bronco Wilbert,Orian Gulotta,""Clarence L. Cormier, Jr."",Earl Nickey Picard,Harley J. Gros,Michael Hilton,""Jerry L. Denton, Jr."",Lisa Chafford,Alton Rachal,""Wince Highshaw, Jr."",William M. Guyton,James Byrd,Larry W. Jeane,Paul Mouton,Jerry Frederick,""David J. McCoy, Jr."",Kenneth J. Duval,Wyatt Williams,""Victor Gordon Anderson, Jr."",Brian J. LeBlanc,E. Bim Coulbertson,Jeremiah Bolden,""Percy Manceaux, Jr."",Robert Pynes,Wayne Adams,Jack Randy Shelley,Morris McClary,Michael Mike Zito,Sidney Walton",48
Mayor,"Charles E. Langlinais,Ron Roberts,Robert Bob Morris,Cedric B. Glover,Kathy Richard,Berline B. Sonnier,Carol Broussard,Carolyn Susie Lagneaux,Reggie Skains,Preston Rogers,Greg Jones,James J. Jimbo Petitjean,Roger Boudreaux,John D. Sittig,Bill Maples,David W. Fruge,Robert Butch Istre,Andrew Hayes,Robert Bob Crafton,Estes LeDoux,Phil Beard,Scott Walker,""Leroy Sullivan, Sr."",Barney Arceneaux,Blake A. LeBlanc,Ron Animashaun,""Gerard C. Moreau, Jr."",Richard Michel,Cleveland Carmouche,John M. Armand,""Kenneth Pickett, Sr."",Eric John Rusk,Lynn Bordelon,Lionel Bordelon,Mona Rabalais,Charles E. Hudson,Eugene Smith,Patrick White,Herbert Thurmond Newman,Stephone Taylor,Wesley Boddie,Donald Donnie Byrd,Donnie Byrd,Vicki S. Pickett,Ralph Todd,""James Haskin, Jr."",John Allison Thomas,Lorenz Lo Walker,Albert Doughty,Carlton Pee-Wee Anderson,Dale Barnette,Johnny Bubba Digilormo,David L. Hanson,Lynn R. Porter,""Charles Chip Dickey, Jr."",Stephen G. Taylor,Jennifer C. Fant,Helen Adger,Dennis White,""Clyde H. Smokie Maddox, Sr."",Paul W. Lockard,Lawrence Henagan,Randy Roach,Ron LeLeux,Danny Cupit,C. J. Scheufens,Kenneth O. Stinson,Toby Esters,Charles Simons,Carmen Meredith Head,Hiram Evans,Michael Tubre,""James Art Goode, Jr."",Sherman Brown,David Morgan Newell,Hubie D. James,Wayne Tanner,Rydell Turner,Glen McGlothin,Kevin Graham,Hyram Copeland,Curtis W. McCoy,Travis Whitfield,Katherine Freeman,Curtis McCune,""Charles Waldon,"",""Clayton Davis, Jr."",Frank Joseph Elliott,Euricka Mayweather,Altheaon H. Burch,Melvin Kip Holden,Harold Rideau,""Shelton S. Mac Watts,"",Henry J. Martinez,""Isaac Fields, Jr."",Don Reason,Charles Coleman,Bobbie Bourgeois,Rebecca Becky Bellue,Joshua Thomas,Bill Jeanmard,Wilda Chamberlain,Herman Malveaux,Terry Savant,Blaine Janet,Jack Hammons,Allyn Jean Luckett,Billy Joe Cupp,Mike Stephens,Gerald Hamilton,Stephen Lee Gunn,Jerome F. Scott,R. Wayne Nugent,John Landry,Danny C. Olden,Arthur L. Verret,Hilda Daigre-Curry,""Albert A. Broussard, Jr."",Mark Tony Gulotta,""George L. Grace, Sr."",John F. Overton,Maurice Big Moe Brown,""Michael D. Chauffe, Sr."",Lawrence Football Badeaux,Herman Lenard,Candace Candy Myers,Leslie Thompson,Fred Ford,Quenton Causey,Geraldine Causey,Joe Vail,Ronnie C. Harris,Paul D. Johnston,Edmond J. Ed Muniz,""John I. Johnny Shaddinger, Jr."",David Camardelle,Timothy P. Kerner,Terry W. Duhon,Cathy Hollingsworth,E. R. Red Giles,Carolyn Louviere,""Eddie B. Alfred, Jr."",Glenn L. Brasseaux,Hazel D. Myers,""Wilson B. Viator, Jr."",Charles Caillouet,Joey Bouziga,Richard Champagne,Murphy McMillin,Wanda Love,Fred Book,Terri Corley,Martha Woodard Andrus,Dan Hollingsworth,Margaret Rogers,Randy Graham,Bill Sanderson,Willie Hendricks,Jimmy Durbin,Gillis Windham,D. Derral Jones,Charles E. Charlie Martin,Bobby Font,Thomas A. Stewart,Toni Guitrau,Laura Sanders Savoy,""Eddie Beckwith, Jr."",Robert Ott,Margaret Yerger,""Robert Kivett, Sr."",Betty Alford-Olive,Floyd Baker,Wayne Gilbreath,""John D. Johnny McAdams, III"",Andy Barham,H. Wayne McCullen,Judy LeBrum Daniels,W. Gahagan Lee,Bobby Braxton,Verna Martin Bedgood,Rosia Humphery,Margie Davenport,Randy Dupree,Tommy O'Con,""Mitchell Mitch Landrieu,"",C. Ray Nagin,Jamie Mayo,Dave Norris,Simeon Profit,Vern Breland,Tommy Nelson,Justin K. Cox,Troy Chustz,S. J. Boobie Tuminello,Jacques M. Roy,Clarence R. Fields,Roy Hebron,Donald W. Welch,Reginald Reggie Allen,Joe Coach Rivers,Gregory Greg Clark,""David C. Butler, II"",Marcia F. Young,""Don Parker, II"",Rose Byrd,Jimmy R. Stothart,Lary Wimberly,Cody Hillman,Lynn Lewis,Robert Neal Harwell,Harry Kayo Lewis,Ken Freeman,Roger Lopez,Troy H. Terrell,Susan Slay,""Eddie Jones, Jr."",Gary Mark Rivers,Betty Sue Thomas,Burke Jones,""Bryan Edward Dykes, Sr."",Herman Bourgeois,Rowdy Kennard Scott,""Donald Don Cravins, Sr."",Gail Lark,Gary Soileau,""Joel Lanclos, Jr."",Pam Cannatella,""Gil Savoy, Jr."",Cecil LaVergne,Joseph Joe Pitre,Susan Menard,""Jeff Benhard, II"",Jack Dale Delhomme,Thomas Nelson,Sherbin Collette,John Dugas,""Raymond Harris, Jr."",Timothy I. Tim Matte,Mike Accardo,Wayne J. Breaux,Louis A. Ratcliff,Candace Watkins,Edward P. Lyons,Ben Morris,Louis Fitzmorris,""Peter Gitz, Jr."",James Lavigne,Marshell Brumfield,Barbara Gibson,Mayson H. Foster,Robert F. Bob Zabbia,Reginald Goldsby,Michael A. Ragusa,Harold J. Smith,Wanda Yodie McCoy,Michael Jackson,Anthony Tony Lamonte,Alex Davis,Edward L. Brown,Bobby D. Higginbotham,Joe Hicks,""Stein Baughman, Jr."",Kenneth W. Franklin,""Isaac M. Lee, Jr."",Bob Shoemaker,Mark Piazza,Linda Hardee,George Dupuis,Craig Bob Hensgens,Robert H. Bob Ferguson,Betty Westerchil,Clarence Beebe,Freddie Boswell,Bruce Ward,Leroy Cooley,Roger Bennett,James Mack McGehee,M. Wayne Fleming,John Dawsey,Paris C. Sumrall,Bill Robertson,Carroll Breaux,Comerdis Phillips,Bobby Washington,E. L. Edwards,Jimmy Williams,Ava N. McWhorter,Cleveland Bradfield,W.C. Curtis Hirth,Betty Blake,Donnie Morgan,Derek A. Lewis,Carroll P. Bourgeois,Joey Normand,Lavelle Brown,Jeff Guice,Michael Wayne Jones,Jim Sowell,Sonia Reiter,Billy D'Aquilla,Ronald Goff,Horace Ray Teal,Bob Carpenter,Loyd E. Vines,Kenneth Ray Womack",305
Chief of Police,"Brannon J. Decou,Gary Goose Fontenot,Richard Mizzi,""Allen Ivory, Jr."",James Broussard,""Frank Andrew, III"",Earl Roberts,Clarence McLelland,K. P. Gibson,Carroll Stelly,""Albert J. Venable, Sr."",David Scott Pousson,Kevin LeBlanc,Donald C. Bertrand,Jason Todd Richard,Scotty LaBorde,Shane Ware,Gary G. Pelican,Richard Young,Buddy Estay,Sherman Jackson,""Earl L. Theriot, Jr."",""Lionel Bell, Sr."",Mary L. Fanara,Gerald Mayeux,John Johnson,John L. Moreau,Kenneth Smith,""James Longoria,"",James E. Longoria,Victor W. Rogers,Michael D. Wright,Lawson Bradley,O. D. Patterson,Scott Thrasher,Charles Pilkinton,Rodney Farrington,Gary Presswood,""Dale G. Nix, Jr."",Sam Curry,Tommy G. Hatcher,Deldecarleo M. Walker,Whit Giles,""David C. Austin, Jr."",Jeremy Cryer,Howard Keith Vincent,Ricky Fox,Shawn Guinn,Clay Bennett,Mitchell Mitch Bratton,Joe Cook,Anthony Craig Smith,""Clayton M. Jack Spurlock, Jr."",Clarence PaPa Skipper,Wanda Smith,Ronnie G.Tapper Hendricks,""Thomas H. Dufrene, Jr."",""Thomas Henry Dufrene, Jr."",""David Glen Burch, Sr."",Michael Snapper Knaps,James Douglas Browning,""John N. Herty, Jr."",Renee Blockwood Jones,""Walter S. Smith, Jr."",Neal Lartigue,Greg Dupuis,""Paul Allen, Jr."",Todd Ortis,Louis Dale Marcantel,Lester Thomas,Billy Cureington,Danny Barber,Ty Britt,Kraig D. Fussell,Christopher Chris Paul,Preston H. Mosley,""Billy Ray Prince, III"",Kevin Butchie Ambeau,John Big John Simien,Mario D. Brown,Tommy Dardenne,Mike Sparks,Mike Wilson,Glen Tullos,Wesley Horton,Simmie T. Slim Brown,Johnny Shively,Phillip Moffett,Donald E. Comer,""Arthur S. Lawson, Jr."",Peter Dale,Steve Caraway,Dwayne Poncho Munch,Euris DuBois,Mary Jo Hargis,Chad Carrier,Cheryl Vincent,Tommy Chaisson,Luther Sam Alfred,Carlos Stout,Chad Leger,Earl Menard,Randy Chiasson,Warren Vedros,Paul Smith,Gary W. Taylor,Leland Guin,Wayne Corley,Russell Croxton,Bobby Joe Milner,Billy C. Foster,Randy M. Dufrene,Hunter Grimes,Russell Deloy Hutchinson,""Harry G. Brignac, Sr."",Donnell Rose,Andrew Y. Federick,Jimmy Lopez,Gregory Antonio Eldridge,Fred Holland,Darrell Fredieu,Rodney Bedgood,McKindley Hoover,""Raymond J. Hymes, Jr."",Harry M. Voigt,Gordon O'Con,Barry Bonner,""Fred Gueho, Jr."",Brad E. Joffrion,Jay L. Barber,Elvin Lee Wren,Bennie L. Coker,""Garland """"Bear"""" Carroll"",James P. Murray,""Charles Loftin, Jr."",John B. Youngblood,Rufus L. Carter,Lennie Graham,""Willie Lee Robinson, Sr."",Roger Freeman,Marvin Frazier,John Brock,""Lamar Thomas, Jr."",Herman Love,Pat Ebarb,Ray Williams,Gerald O'Malley,Brent H. Dicharry,Dwan Bowser,Dwan B. Bowser,Perry Gallow,Margaret R. Coco,Wanda Susie Lacassin,Dalton Pemo Brown,John McKeel,Deon Boudreaux,Alexcie Guillory,John Offord,Heath Treadway,David Krull,Charles Thibodeaux,Leroy Guidry,Ronald Solarie,Patrick M. LaSalle,Gerald Minor,Freddy Drennan,Bennie Raynor,Bry Layrisson,Jerry Trabona,""Frank Edwards, III"",James R. Rimes,Donnie Hammons,Richard F. Banks,Jimmy L. Sparacello,Johnny Gales,Ricky Albritton,Mark Dodd,John B. Rhodes,Rickey Rick Coleman,Tony J. Hardy,Steve Perry,Gerald Hebert,Stoney P. Broussard,Warren Rost,Stieve E. Holley,Danny Hunt,James Dennis Parrott,Randall Bryan,""Houston Tully Burns, Jr."",""Gilbert Hartzog, Jr."",Louis Adams,""T.C. Bloxom, Jr."",Ronnie Coleman,Terry C. Brown,Mary Ann Hoof,""Bill Fields, Jr."",Jeremy Robinson,""Robby Hayden, Jr."",Charles E. Mims,Paul B. Migues,Fred Smith,Richard Alton Ricky Anderson,Jamie Whaley,Roosevelt Porter,James R. Bob Smith,Howard Tullos,Michael Henderson,Johnny Ray Carpenter,""Raymond V. Whittington, Sr."",Ronald D. Canerday,Vernon Pat Ashley",211
Alderman at Large,"""I. Jackson Jack Burson, Jr."",Ronnie Denette,Steven C. Premeaux,Paul Molbert,Troy Meaux,Charles Chuck Descant,Charles Austin,""Frank Stawasz, Jr."",Randy Slagle,Joe Paul Deshotels,Aprill Foulcard,Randy Shows,Barbara Richardson Peterson,Otis J. Schexnayder,Kat Bocz,Rubenstein Mitchell Clark,Harvey Darbonne,Bernice Richard Smith,Mona C. Wilson,Kirk Champagne",20
Council Member at Large,"Johnnie M. Foco,Vincent Labue,Hayward Steele,Curtis Francisco,Timothy Larkin,""David A. Montgomery, Jr."",Robert Bob Guth,William Moore,Denise Maddox,""John F. Young, Jr."",Thomas J. Capella,Michele P. Branigan,Jeannie M. Black,Wayne A. Rau,Norwood Menard,Lloyd Chip Badeaux,Chad Mire,""Don Mims, Jr."",Jacquelyn Brechtel Clarkson,Arnie Fielkow,Arnie D. Fielkow,Anthony Daisy,Roosevelt L. Johnson,Myron K. Lawson,Wayne J. Landry,""Frank P. Auderer, Jr."",Carolyn K. Schexnaydre,Terry Authement,""Richard Dale Wolfe, Sr."",Steve Lee,Albert Foulcard,Steve F. Bierhorst,Gary Duhon,Adelaide J. Boettner,Trilby Lenfant,L. Landon Cusimano,Kim Baronet Harbison,""W. T. Trey Blackall, III"",Matt Faust,Francis J. Plaisance,Alice Guess,Alice Upshaw Guess,Joe McKee,Wendy O'Quin-Perrette,Danny Stogner,R. J. Loupe",46
