Name,Imported table,Total
West Monroe,"Billye Burns,Dalfred Burns,Deborah Wisdom McCulloch,M. Randall Randy Donald,Gordon Dasher,Marcus R. Clark,Mike Walsworth,Frank Hoffmann,John Wilson Rambo,Stephens Winters,Billye Burns,Wayne Trichel,Jean Halsell,""Charles E. Jackson, III"",Rich Bailey,Teri O'Neal,""Charles E. Jackson, III"",Mack Calhoun,""Walter M. Walt Caldwell, IV"",Jim Norris,William M. Guyton,Scott Robinson,A. R. Red Sims,Jerry R. Hicks,Helen Roberts Johnston,James E. Jim Nolan,Benny Owens,Charles H. Johnston,Greg Sims,Benji Owens,Dave Norris,James Sonny Bennett,James Polk Brian,Alice Pearson,""Fred Ragland, Jr."",L. O. Sam Yeager",36
Monroe,"Brenda Hensley Smith,Fred Huenefeld,Millie Atkins,""Rodney McFarland, Sr."",Ruth Ulrich,Kay Kellogg Katz,Nancy Pate Wilkes,Thomas E. Taylor,Rodney Alexander,John Larry Lolley,Milton Moore,Keith Guice,Robert W.Bob Kostelka,Kay Kellogg Katz,Rosalind D. Jones,Carl Sharp,Benjamin Jones,Alvin R. Sharp,Robert C. Johnson,Scott Leehy,Sharon Ingram Marchman,Fred Amman,Wendell Manning,Ed Chorette,Mary D. Hall,""Turner Hayden, Jr."",Shameka Jones,Nikki Wade,""Patton D. McHenry, Jr."",David Pivont,""Rodney McFarland, Sr."",Bradley Adair,Jack B. Files,Lois P. Hoover,Kay Kellogg Katz,Ruth Ulrich,Ben Katz,Shane Smiley,Royce Toney,Bill Hodge,Ollibeth Reddix,Shane Smiley,Pat Moore,Tammy D. Lee,Fred Amman,Larry D. Jefferson,""Wince Highshaw, Jr."",Vickie Dayton,Vickie Krutzer,Mickey Traweek,Jessie L. Handy,""Rodney McFarland, Sr."",Stephine Shoulders Smith,Brenda Shelling,John L. Russell,Carey Walker,Susan Bolton Spence,Lynnette Vining,Tommy Brunt,""Dewey R. Allen, Sr."",Jamie Mayo,Alvin Jackson,Jay Marx,Gretchen H. Ezernack,""Arthur Gilmore, Jr."",Robert Red Stevens,Eddie M. Clark",67
Port Allen,"Linda D. Phillips,""Rawlston D. Phillips, Jr."",J. Robin Free,Michael B. Cazes,Jeffrey C. Kershaw,""Rawlston D. Phillips, Jr."",Thomas J. Leblanc,Huey P. Brown,Anthony R. Ferdinand,Joseph B. Hagmann,Michael Mike Cazes,Mark J. Graffeo,Barney Frog Altazan,Phil Padgett,Jeffrey Petit Kershaw,Ricky Loupe,Charlene Gordon,""Phil Porto, Jr."",Alethea Lisa Green Johnson,Edward G. Bob Robertson,William T. Will Kleinpeter,Michael Mike Zito,C.A. Altazan,Cecile G. Gauthreaux,Ronald Blue LeBlanc,""Leon N. Goudeau, Sr."",""Thelma L. Pattan,"",""George Alden Chustz, Jr."",Jason Manola,Michael Mike Ryan,Fern David,Jerome M. Jimmy Fontana,Michael Mike David,Johnny Lurry,Derek A. Lewis,Fred Smith,R. J. Loupe,Ray Helen Lawrence,Hugh Hootie Riviere,Ralph Bergeron,Irvrie A. Ivory Johnson",41
Tallulah,"Sha Carter,Fred B. Wyly,Felicia Toney Williams,Michael E. Lancaster,LaDonna A. Abrahm,Sha Carter,Olga Daily,Priscilla Mahoney,Myrtle W. Wyche,Fred B. Wyly,Larry G. Cox,Marion Hopkins,Jim D. Sevier,Thomas A. Neumann,Robert Dalton Fortenberry,Henry Tyler,James J. Griffin,Jane Gladys Sanders,Ed Yerger,Randy J. Morgan,Joseph C. Candler,Joe Walk,Hayward Fair,Kizzy Bynum,Vera L. Davis,Eva F. Taylor,Beth Thomas,Billy Thornton,Patricia Buchanan,Cynthia Arender Machen,Tilford M. Watts,Charles Roberson,""Charlie Trimble, Jr."",Gene M. Cox,""Eddie Beckwith, Jr."",Margaret Yerger,Donnell Rose,Andrew Y. Federick,Margaret F. Crews,""Walter S. Crews, Jr."",Darlene C. Federick,Olga Foster-Butler,Donnie Remore,Charles Michael Finlayson,Henry J. Williams,Eddie Ray Fountain,Kelvin Brooks,Michael Whitney",48
Rayville,"""George B. Tennant, Sr."",Charles R.Bubba Chaney,Terry A. Doughty,""William R. Billy Coenen, Jr."",""George B. Tennant, Sr."",Valerie Allen,Gerald Vincent Thomas,Timothy Tim Tennant,Charles M. McDonald,Ramona N. Haire,""Emmett Lee Brown, III"",W. David Thompson,Sharon Kelley Gee,Steve Lofton,Judy Green,Althan Smith,William T. Bubba Moore,Sharon B. Jones,Danny Whitstine,Robert Bob Adams,Marie Lewis,Patricia R. Jordan,Kevin Eppinette,Joe Comeaux,Inez Carroll,Gordon Sorey,Ray M. Trisler,Harry Kayo Lewis,""Willie Lee Robinson, Sr."",James C. Jim Adams,Valerie W. Allen,Terry Coach Brown,Johnny Renael Jones,George B. Tennant",34
Columbia,"Jane Roberts,Greg Richardson,""Billy C. Johnson, II"",Neil Riser,W. Mark McKee,Greg Richardson,Betty Robinson,Jane Roberts,Steven May,Eugene Dunn,Scott Meredith,""Linus Carroll,"",Charles W. Clack,Kenneth Speck Graham,Lanny Dark,Eddie Hearns,Archie Lloyd Williams,Jimmy Gaylor,David May,Russell L. Flint,Baron D. Glass,C.R. Martin,Jeff M. Bailes,J. N. Buddy Bailes,Charles Alger,Charles Simons,Clay Bennett,Ken Brockner,Bonnie M. Crockett,Bruce Frazier,Richard Meredith,Melvin D. Robinson,Donald E. Oliveaux",33
Ferriday,"Anna B. Ferguson,C. Travis Johnson,Justin Conner,Glenda Price Lewis,Dorothy Johnson,William H. Billy Rucker,Charles Stutson,Ann Goodman,""Bryant O. Hammett, Jr."",Emerson U. Slain,Mary Bradford Gibson,Ronnie W. Bradford,Sarah Lee,Carey H. Cook,Jerry Beatty,Melvin Ferrington,Fred T. Butcher,""Ricky Lee Raven, Sr."",Daryle W. Price,Martha J. Rabb,Justin L. Conner,Jerry Stallings,Charles E. Charlie White,Rosa W. Elaine,John H. Cowan,Glen McGlothin,Somer Lance,Elijah Stepper Banks,Jerome Harris,Johnnie Brown,Gloria Lloyd",31
Montgomery,"Bobby W. Deen,J. ElRay Lemoine,Tony Lavespere,Garland McCracken,A. J. Tony Lavespere,John Timothy Tim Coolman,Stephen Lee Gunn,James C. Carter,Velma Fletcher,Joann B. Lary,Denise Pearson,John Savant",12
Saline,"Mary Bonier,Raymond Earl Malone,Kenneth Larry Knotts,John Allison Thomas,Scott Thrasher,Columbus J. Boston,Brenda Matthews,Jimmie R. Rogers,Dorothy J. Satcher,Robert R.D Slayton,Amy Warren",11
Natchitoches,"Edwin Dunahoe,Paul Johnson,Gerald Long,Rick Nowlin,Rick Harrington,Van H. Kyzar,Edward B. Anders,Mary Ann Nunley,Anna Kathyrn Shuler,""Joe Cunningham, Sr."",Mark Begnaud,Will Adams,A. P. Fleming,Paul L. Johnson,Donald F. Barker,John Bernard,Victor E. Jones,Louie Bernard,D. Rick Hargis,""Charles A. Curtis, Jr."",Gerald Jerry Longlois,Chris Paige,J. D. Garrett,David Dollar,William Hymes,Charles E. Huggins,Mimi Stoker,Fred S. Gahagan,Alton Rachal,Julia C. Hildebrand,Harry Douglas Graham,Ralph Wilson,""Billy Benefield, Jr."",Jo Ella Wilson,Millard Bienvenu,H. Wayne McCullen,""Don Mims, Jr."",""Jack McCain, Jr."",Dale Nielsen,Sylvia Morrow,Larry Payne",41
