Name,Imported table,Total
Sulphur,"Myra Wilburn Bennett,Allen Joyner,Lillie Brady,Shaina Farque,Mike Danahay,David Ritchie,Craig Martin,Charles Chuck Bennett,Lance Thibodeaux,Tim Jones,Shaina Farque,""Richard Joseph Cole, Jr."",Ellis Hassien,Francis Andrepont,Les Farnum,Charlie Schrumpf,Billy Guidry,Chad Guidry,Joe Andrepont,William Billy Breaux,Ron LeLeux,Dru Beglis Ellender,Drusilla Dru Ellender,Michael Mike Koonce,Chris Duncan,Joseph Randy Favre,Nancy Clifton Tower",27
Lake Charles,"Edwina Medearis-Harrison,Michael McHale,Marilyn Cox,Terry Fowler,Mary Leach Werner,Mark Zimmerman,Terry Backhaus,Nathan Curtis,Tore Carlberg,Larry Agee,Keith DeSonier,Marcia Farber,Ulysses Gene Thibodeaux,Joseph David Painter,Billy H. Ezell,Dale Bayard,Willie L. Mount,A.B. Franklin,Brett Geymann,Chuck Kleckley,Lilynn Cutrer,Wilford D. Carter,Ron Ware,Clayton Davis,Guy Bradberry,Robert L. Wyatt,Michael Mike Canaday,D. Kent Savoie,John DeRosier,Sue Ball,Frank Hyatt,O. Lynn Speight,Mike Wright,Marilyn Cox,Winnie Fowler,Otis Walker,Michael McHale,Dorothy Durrett Romero,Yvonne P. LeMay,Mary Leach Werner,Alvin Stevens,Eugene Bouquet,Terry Fowler,Darryl DeMaris,Charles A. Enright,David Johnston,John Hoffpauir,Jo Ann Colligan,Tony Mancuso,Lynn Jones,Terry Welke,Shannon Spell,Calvin Collins,Elizabeth Conway Tbet Griffin,Claude A. Syas,Charles S. Mackey,Dennis Scott,Chris Landry,Guy Brame,Kevin Guidry,Thomas P. Quirk,John S. Hood,Joey Alcede,Fredman Fred Hardy,Clara F. Duhon,Annette Ballard,Dale Bernard,Bill Jongbloed,""Mack Dellafosse, Jr."",James W. Jimmy Pitre,Elray Victorian,Bryan LaRocque,Ashton Richard,Louis Michiels,Orgy J. Broussard,Randy Roach,Stuart Moss,""Marshall Simien, Jr."",Luvertha August,Rodney Geyen,John Ieyoub,Stuart Weatherford,Dana Carl Jackson,Mark Eckard,E. Garner Nunez,Richard D. Sanders,Mckinley Wayne Guidry,John Buck Stephenson",88
Jennings,"Michael Cassidy,""Paul Delacroix, Jr."",Dan Blade Morrish,John E.Johnny Guinn,Steve Gunnell,Michael C. Cassidy,Michael C. Cassidy,Charles C. Achane,""Richard Ricky Edwards, Jr."",Donald G. Kratzer,Charles J. Deese,Warren A. Woods,Bradley Eastman,Tom Kilpatrick,Melvin Moe Adams,Steve Eastman,Joe Landry,Daniel Stretcher,""Clarence L. Cormier, Jr."",Phillip Arceneaux,Robert W. Rob Menard,Donn E Dees,David S. Cap's Capdeville,Jimmy Segura,Michael J. Heinen,Richard McNabb,Jennifer Courville Landry,Joseph W. Guidry,Terry W. Duhon,Rogeous Lawdins,Johnny Armentor,Trey Myers,""Anthony Philip LeBlanc, Jr."",Stevie VanHook",34
Ville Platte,"Jennifer Vidrine,Dirk Deville,Dennis Thompson,Jimmy LaFleur,John Saunders,Eric LaFleur,H. Bernard LeBas,J. Larry Vidrine,Trent Brignac,James Henry Berthelot,Nicole Fontenot,Ranish Richard,Robert Eastin,Ronald T Doucet,""Joseph P. Weeks, III"",Eddie Soileau,Walter Lee,Dirk Deville,Davis A. Manuel,Lamar Johnson,Bob Manuel,Bryan Vidrine,Ryan Leday Williams,Richard Blood Thomas,""Donald J. Launey, Jr."",Ronald T Doucet,Lonnie D. Sonnier,Jerry L. Thompson,Peggy Forman,Wanda A. Skinner,Scott Limoges,Arthur Savoy,Nancy A. Hamlin,Gervis Lafleur,Georgianna L. Wilson,""Maxine J. Gautreau,"",""A. C. Robin Tatman, Jr."",Tim Causey,J. Michael Mike Causey,Bill Jeanmard,Neal Lartigue,C. J. Dardeau,Carol Alfred,Mike Perron,Freddie Jack,Donald Ray Sam,Taranza Arvie,Lucy Jones Green",48
Carencro,"Shellie Badon,Dale Bourgeois,Bobby G. Badon,Ed Rubin,Herman Clause,Ann L. Ardoin,Susannah J. Malbreaux,Greg Dean,Raymond Lalonde,Carl LaCombe,Michael Chalk Angelle,Michael J. Broussard,Russell Comeaux,Pat Dugas,Glenn L. Brasseaux,Carlos Stout,""Antoine Babineaux, Jr."",L. J. Boudreaux,Kim Guidry,J. L. Richard",20
Opelousas,"Anita Gradnigo,Charles Renaud,Alyshia B. Boagni,Jimmy Genovese,Elbert L. Guillory,Ledricka Johnson Thierry,""James P.Jim Doherty, Jr."",Donald W. Hebert,Earl Taylor,Greg Ardoin,Alex Darjean,""John K. Hadley, Jr."",Gregory J. Doucet,Jason Meche,James Gates,Wayne Ardoin,James C. Lopez,Stan Muller,Joe Zeringue,Alyshia Boagni,JoAnn Caillouet,Sancha Haysbert-Smith,Rick Ortego,Betty Foret,Bobby J. Guidroz,Charles Jagneaux,Rhyn L. Duplechain,""Jerry L. Red, Jr."",Leon E. Robinson,Fekisha Miller,Glenn Stout,Dexter Q. Brown,Claude Jay Guidry,Vanessa Harris,Paul Mouton,Anthony Standberry,Elinor Nacoste Eaglin,John Miller,Scott Richard,Quincy Richard,Clyde J. Fontenot,Lee R. Darbonne,James Jimmy Soileau,""Donald Don Cravins, Sr."",Perry Gallow,Harvey Darbonne,Julius Alsandor,""Louis Butler, Jr."",Dale Pefferkorn,Reginald Reggie Tatum,Jacqueline M. Martin,Gayle Briley Falcon,Jason Meche",53
Eunice,"Jack Burson,Russell P. Pavich,Mickey J. Guillory,Ellis J. Daigle,Lynette Young Feucht,Terry J. Darbonne,Robert Bob Morris,Gary Goose Fontenot,""I. Jackson Jack Burson, Jr."",Wallace Bubba Bourque,Germaine Simpson,Chawana V. Fontenot,Dale Soileau,Mac Atteberry,Felton Tony Moreau,Marshall Thibodeaux,George Fisher,Russell P. Pavich,Anthony Guillory,Craig Shilow,Richard Paul Bertrand,Russell Pavich,Jimmie E. Edwards,Gary D. Courville,Roger Young,Josie Frank,Harry B. Fruge",27
Crowley,"James Rev. Proctor,John D. Trahan,Glenn Everett,Billie Fulkerson,Jerrl L. Thompson,Nancy E. Tislow,Ira Thomas,Debbie Dore,Wayne A. Melancon,Robert T. Robby Barousse,Alton Al Stevenson,A.J.Fatty Broussard,Marie Elise M'elise Trahan,Glenn J. Deville,Israel Syria,John A. Suire,Greg Jones,K. P. Gibson,Steven C. Premeaux,Jeff Dore,Kathleen Kitty Valdetero,Todd W. Whiting,""Lyle O. Fogleman, Jr."",Vernon Step Martin,Laurita D. Pete,Elliot Dore,Mary Melancon",27
St. Martinville,"Espinola Alexander-Quinn,Richard Delahoussaye,""Fred H. Mills, Jr."",Paul deMahy,Melissa Castille,Christy Hebert,Dolores L. Bourda,Melba D. Braud,Odell Trahan,Ronald J. Ronny Theriot,""Allen Blanchard, Sr."",Daniel Wiltz,Guy J. Cormier,Carroll Coach Delahoussaye,Lisa Nelson,Jason Willis,Lloyd Red Higginbotham,Steve Fuselier,Wanda Hypolite Babin,Aaron Flegeance,Barbara T-Bob Latiolais,Thomas Tommy Boutte,Joseph Joe Mason,Charlene Champagne,Alvin Al Cormier,Leander Cush Williams,David R. Dugas,Thomas Nelson,Ronald Solarie,Michael Mike Fuselier,Craig Prosper,Dennis Paul Williams,Ronald J. Charles,""Arthur Champ, Jr.""",34
Breaux Bridge,"Mardy J. Guidry,Joseph Rick Pearson,Mardy J. Guidry,Mary Kately Jones,Lottie P. Beebe,Lawrence Patin,Jill Hebert,Pat Cluse,James Jim Hebert,Dean Dore,Randy P. Angelle,Jerry Frederick,James Jimmy Blanchard,Rodney J. Ledoux,Richard Potier,Frederic Stelly,Gary J. LeBlanc,Floyd Hal Scrantz,Jack Dale Delhomme,Charles Thibodeaux,Terry P. Thibodeaux,Howard Doc Alexander,Albert Da Da Menard,Glenn Michael Angelle,Gary Bimmie Champagne",25
Abbeville,"Cynthia Sudduth Campisi,Eugene Sellers,Dexter James Duhon,Dick Lane Menard,Marc Amy,Nick Gautreaux,Ed Broussard,Durwood Conque,Cynthia Sudduth Campisi,Dexter James Duhon,Michael Mike Couvillon,Diane Meaux Broussard,Kathryn Kathy Broussard,Myriam Hutchinson,Chris Beraud,Nathan Granger,Ronald J. Darby,Wayne Touchet,Keith Meaux,Pervis Gaspard,""T. J. Prejean, Jr."",Rick Putnam,Jeremiah Bolden,Angela Faulk,Anthony Tony Fontana,Charles Campbell,Sheb W. Callahan,Johnny C. Choate,Randy Granger,B.J. Lege,""Antoine Barras, Jr."",Mark Piazza,Rickey Rick Coleman,Tony J. Hardy,Francis J. Plaisance,Louis Joe Hardy,""Francis Touchet, Jr."",Carbett Duhon,Wayne Landry",39
New Iberia,"Shane Romero,Anne B. Caffery,Oswald Decuir,Troy Hebert,Taylor F. Barras,Charles L. Porter,Lori A. Landry,Gerard B. Wattigny,Keith Comeaux,J. Phil Haney,Perry Segura,Stephen I. Etienne,Anne B. Caffery,Jeffery Martin Landry,Shelley Greer Rankin,""James Wright Wyche, III"",Christopher John Gary,""Roger Paul Hamilton, Jr."",Louis Ackal,Mike Thibodeaux,Rickey Huval,Ernest Freyou,Maggie F. Daniels,Curtis Joe Boudoin,Thomas J. Landry,Lloyd Brown,Troy Comeaux,Bernard E. Broussard,John Berard,Barry Verret,Glenn P. Romero,Roger Duncan,M. Larry Richard,Naray Hulin,Robert L. Segura,Victor Vic Delcambre,Clara Degay Carrier,Elvin Dee Pradia,Jay McDonald,Mary Batiste Mel Davis,Robbie J. LeBlanc,""Richard L. Denison, Jr."",""Dan LeBlanc, Sr."",Ed Buford,Joel J. Dugas,Danny D. Segura,Kenric Mushy Fremin,John N. Johnny Hebert,Henry Charpentier,Veronica B. Ferry,Lynn P. Guillotte,Mark Charpentier,Benjamin J. Hoffpauir,Hilda Daigre-Curry,""Frederick H. Freddie DeCourt, Jr."",Therese M. Segura,Peggy L. Gerac,Robert J. Suire,David Merrill,Raymond Shoe-Do Lewis,Calvin Begnaud",61
Franklin,"Sam Jones,Jessie Morton,Sam Jones,John E. Conery,James R. McClelland,Sam Jones,Gary Doc Wiltz,Bill L. Moore,Glynn P. Pellerin,David A. Naquin,Cliff Dressel,Charles Butch Middleton,Albert Foulcard,Terry Breaux,""David J. McCoy, Jr."",""Joseph Foulcard, Jr."",Mary Shannette Lockley,Murphy Pontiff,Ray A. Manuel,Shelby J. Bourgeois,Nekesia J. Bowie,Steven Drexler,""Harry J. Smith, Jr."",""Raymond Harris, Jr."",Gerald Minor,""Kenny P. Scelfo, Sr."",Dale J. Rogers,Chuck D. Autin,Eugene P. Foulcard,""Joseph H. Garrison, Sr.""",30
Morgan City,"Anna B. Cunningham,Leilani N. Hardee,Butch Gautreaux,""Edward Ed Leonard, Jr."",Irving Comeaux,Andrea Barras,Shelia Landry,Carol Martin,Jarrod K. Longman,""F. H. Metz, Jr."",Glen J. Hidalgo,""Logan J. Fromenthal, Jr."",Kevin J. Voisin,Gary Duhon,Kim P. Stansbury,Kenneth J. Duval,Bill McCarty,Anthony Streva,Roland Herman Verret,John Arceneaux,Timothy I. Tim Matte,Tim Hymel,Larry P. Bergeron,Ron Bias,Luke P. Manfre,""Louis J. Tamporello, Jr.""",26
Theriot,"Roger Dale DeHart,Roger Dale DeHart,Junior J. Theriot,Dale A. Theriot",4
Houma,"Arlanda J. Williams,Patrick H. Yancey,Mary Audrey George,S.P. LaRussa,""Kirby B. Fabre, Jr."",Fred Fondren,Lenar Whitney,John T. Pettigrew,Edward J. Jimmy Gaidry,Vanessa Guidry-Whipple,Glenny Lee C. Buquet,Gordon Dove,Damon Baldone,""George J. Larke, Jr."",John R. Walker,Timothy C. Ellender,David W. Arceneaux,Randall L.Randy Bethancourt,""Joe Waitz, Jr."",Mark Atzenhoffer,Roy Landry,S.P. LaRussa,Dale Norred,June S. Williams,Barbara Cenac,""L. Vernon Bourgeois, Jr."",I. Robert Bobby Boudreaux,Gene P. Bonvillain,Victor Tedesco,Michel Claudet,Alvin Tillman,Arlanda Williams,Billy Hebert,John Pizzolatto,Kevin Michael Voisin,Joey Cehan,Jude Thaddeus Fanguy,Roosevelt Rosey Thomas,Gregory Dut Harding,Richard Dicky Jackson,Rickie Pitre,Clark J. Bonvillain,L. P. Bordelon,Donald Don Duplantis,Robert Yogi Naquin,Kenneth Kenny Hamner,Cheryl Authement Blanchard,Drew P. Breaux,David J. LeBoeuf,Harrison Sonny Parfait",50
Raceland,"Carol LeBlanc,Jimmy Cantrelle,Kimberly Theriot,Lawrence Autin,Jimmy Cantrelle,Carol LeBlanc,John King,Gary J. Foret,Ronald Pere,Mary U. Foret,Dwain LeBouef,John Johnny Detillier",12
Thibodaux,"Matthew Block,Frank Nezzio,David Gauthe,John L. Weimer,Randolph Randy Parro,Jerome Dee Richard,John LeBlanc,""Jerome J.Jerry Barbera, III"",""Walter I. Lanier, III"",F. Hugh Buddy Larose,""Camille A.Cam Morvant, II"",Roselyn Peltier,Matthew Block,David Gauthe,Jane Griffin,Betsy McGee,Jeanette Naquin,Sheila Plater,Marsha Willett,Mary Bond,Al Carter,Gwen Cheramie,Rudy King,Craig Webre,Vernon H. Rodrigue,Charlotte Randolph,Jerry Jones,Michael F. Delatte,Louis Richard,Joseph Joe Fertitta,Mark D. Chiasson,Harley J. Gros,Louis E. Thibodaux,Rhoda Caldwell,""Richmond Boyd, Jr."",Robert Naquin,Stella Chiasson Lasseigne,""G. A. Rodrigue, Jr."",Jean Denis Rodrigue,Benny J. Percle,Charles Caillouet,Lloyd Chip Badeaux,Chad Mire,Eddie Hebert,Gene Richard,""Varick C. Taylor, Sr.""",46
LaPlace,"Judy B. Songy,Randal Gaines,Emory B. Putman,Nickie Monica,Mary Hotard Becnel,Thomas Tom Daley,Tomy J. Acosta,Lynncal T. Bering,Olangee O.J Breech,Maria Rowley,E. Buddy Bailey,Judy B. Songy,Sherry W. McTopy,Randal Gaines,Wayne Jones,Christy A. Montegut,Steve Lee,Jaclyn Hotard,Darnel Clement Usry,Ronnie S. Smith,Cheryl Millet,James R. Jimmy Ray Madere,Keith A. Jones,Phillip Johnson,Russell E. Russ Wise,Lowell J. Bacas,Matthew Ory,Clarence G. Triche,Rosie Weber Monica,Karen J. Bailey,Wilfred Coach Mitchell,""Todd J. Clement, Sr."",Russel Landeche,Donald Brady,Don D. Detillier,Keith M. Mike Bourgeois",36
Norco,"""Henry A. Smith, Jr."",""Gary L. Smith, Jr."",Michael J. Tabb,Lance Marino,Jay Robichaux,Milton L. Cambre",6
Garyville,"Geri Broussard Baloney,""Carl Butch Baloney, Sr."",Cherry Burl Frank,""Barry Mr.- B Ellis, Sr.""",4
Geismar,"Travis Turner,George Valentine,""George Valentine, Jr.""",3
Gonzales,"Rita G. Bourque,David N. Young,Paul Goppelt,Jody Amedee,Eddie J. Lambert,""Alvin Turner, Jr."",Guy Holdridge,Ricky Babin,Edward Ed Price,Shirley Bourque Waguespack,Kathy Edmonston,Jeremy Epps,Todd P. Gautreau,JoAn Brown,Pie Lanoux,Larry Buquoi,Steven McGowan,Kermit Hart Bourque,Renee Mire Michel,Kent Schexnaydre,Adrian Thompson,Todd Lambert,Dennis Cullen,Benny Johnson,Jody Elisar,Edward Ed Price,Kerry Diez,""Troy J. Gautreau, Sr."",Patricia Pat Russo,Barney Arceneaux,Sherman Jackson,Kenneth Kenny Matassa,Kirk J. Boudreaux,Ronald J. Joe Waguespack,Terance L. Irvin,John J. Cagnolatti",36
Pierre Part,"Karen St. Germain,Karen St. Germain,Booster Breaux,Myron Matherne,Jessica Kooney Ourso,Doris Dugas,Bridget Marie Landry,Jamie P. Ponville",8
Plaquemine,"Tom Delahaye,Garry McClure,Linda M. Johnson,""Alvin Batiste, Jr."",William C. Dupont,Michael Chief Barbee,""Edward Lucky Songy, Jr."",Peggy Young,Brandon Troy Mellieon,Daryl Tempanaro,""J. G. Jade Dupont, III"",Karen Fitzgerald,Vanessa Banta Moore,Brent Allain,""J. G. Bubbie Dupont, Jr."",Steven E. Lee,""Jessel Mitchell Ourso, Jr."",""Edwin M. Ed Reeves, Jr."",Salaris Sal Butler,""Howard Oubre, Jr."",""Eugene P. Stevens, Jr."",Terry J. Bradford,""Louis Pete Kelley, Jr."",""Michael M. Distefano, Sr."",S.J. Bronco Wilbert,Glyna Mendoza Kelley,""Michael J. Hebert, Jr."",Paul Distefano,Michael Chief Barbee,Thomas Tom Delahaye,Dorothy R. Sansoni,Yolanda Butler Laws,Brian Willis,Steve C. Pine Smith,Mark Migliacio,Justin Kane Mendoza,Tommy Tucker,John J.B. Barker,Ronald Ronnie Hebert,Mark Tony Gulotta,Orian Gulotta,""Lindon A. Lin Rivet, Jr."",Oscar S. Mellion,""Ralph Stassi, Jr."",Michael Mickey Rivet,Timothy L. Timmy Martinez,Jimmie Fatboy Randle",47
Independence,"Cassandra Butler,Hubert Stilley,Cassandra Butler,Carlo S. Bruno,""Leonard Tank Genco, Jr."",Joe Sinagra,Michael A. Ragusa,""Frank Edwards, III"",Parnell Butch Baham,Larry Cardaronella,Louis Nick Joseph,Mike Muscarello,Richard Navarra",13
Zachary,"Vernon Vern Blalock,Audrey Nabors-Jackson,""Robert Sonny Williams, Jr."",""Richard Chip Moore, III"",Juanita Carter-Sanford,Rosalie Pat Harris,J. E. Trae Welch,Lonny Myles,Gaynell C. Young,Scott Swilley,Sharon T. Samuel,Carl C. Snowden,Hubert C. Hubie Owen,Jannie Thomas Rogers,Carl Kelley,Jonathan C. Benda,David Dayton,Virginia Forbes,Brooke Peay,Darin David,Henry J. Martinez,""John N. Herty, Jr."",Francis Nezianya,John M. Coghlan,Randy Bouley,Dan Wallis,Melvin L. Riley",27
Baker,"Elaine G. Davis,Daniel Edwards,Jewel E.Duke Welch,Linda Perkins,Daniel Edwards,Kirk A. Williams,Pam Malveaux,Dana Carpenter,George Gallman,Jane Freudenberger,Jim Gardner,Doris Alexander,Harold Rideau,Michael Snapper Knaps,Charles Vincent,A.J. Walls,Carlon Simpson,James Jimmy Pourciau,Fred O. Russell",19
Greenwell Springs,"Wade Byrd,""Ron Erickson, Sr."",Gerald Phares,Richard D. Anderson,Wade Byrd,Russell Starns,Ruby Wallette Foil,Mark Miley,Jimmy Santangelo,James Douglas Browning,Joan C. Lansing,Aaron Moak,Lucky Ross,Ralph J. Washington",14
Livingston,"Shelia Cadby,Dale Erdey,Bruce C. Bennett,William L. Willie Graves,""Thomas Tom Sullivan, Jr."",Don Wheat,Rhonda Dale Wheat,Rita Stewart,M. Warren Watts,D. Derral Jones,Randy M. Dufrene,David R. Bencaz,David McCreary,Randall Randy Morgan,Joey H. Sibley,Wade Wilson",16
Denham Springs,"Al Comeaux,Kevin Hull,Gordon Atwell,Valarie Hodges,Robert W. Bob Morgan,James Tullier,Gerald L. Burns,J. Rogers Pope,Wayne Ray Chutz,Milton D. Doug Hughes,Gene Williams,Al Comeaux,Kevin Hull,Derek Babcock,Cylton Joe Mitchell,James Tullier,Carolyn R. Hatcher,Robert W. Bob Morgan,Jason Stern,Gerald L. Burns,Jeff Taylor,Ron Coe,Jimmie McCoy,Cindy Wale,Marshall H. Harris,Albert Buddy Mincey,""Charles W. Chuck Borde, Jr."",""Jerry L. Denton, Jr."",David A. Tate,Milton Hughes,Louis E. Loody Carlisle,""Albert Buddy Mincey, Jr."",Jeff Sachse,Sandra Allen Causey,Richard Ricky Chandler,Ronnie Causey,Jimmy Durbin,Rene Delahoussaye,Ann M. Annie Fugler,Lori Lamm-Williams,""Arthur L. Perkins, Sr."",John Wascom,Willie G. Lee,Joe L. Lee,Lawrence Hughes",45
Greensburg,"Linda Guy Phillips,Michael R. Martin,Burrell J. Carter,Linda Guy Phillips,Michael R. Martin,Nathaniel Nat Williams,Beverly A. Gordon,Jimmie W. Varnado,Jule Charles Wascom,Thomas J. Wicker,Wilson Hagan,Brenda G. Hurst,""Elijah Harvey, Jr."",James E. Chaney,Alfloyd Muse,Tundra D. Muse,Joseph Joby Wall,""Kermit Brown,"",Kermit L. Brown,Iola J. Martin,Iona T. Pitts,Burke Jones,Jimmie L. Meadows,Hunter Carter,Larry Carruth,Danny Carruth,Paula McNabb",27
Hammond,"Carolyn Brown-Spiller,George R. Holton,Blair Downing Edwards,Scott M. Perrilloux,Sal Demarco,Richard David Ramsey,Daniel H. Edwards,Ronnie Bankston,Lionell Wells,Carlos D. Notariano,Bobby Cortez,Grace Bennett Gasaway,""Victor Gordon Anderson, Jr."",Sonya Jenkins Traylor,Eric Dangerfield,Mayson H. Foster,Johnny E. Blount,Jason Hood,Willie Grant Jackson,Kathy Montecino,Mike Williams",21
Ponchatoula,"Robert Tiger Hammond,Mike Whitlow,Frank Schneider,James E.Jimmy Kuhn,Steve Pugh,""Ernest Ernie Drake, Jr."",Rick Foster,Debbie Edwards,Rose Quave Dominguez,Robert F. Bob Zabbia,Bry Layrisson,Braville J. LeBlanc,Connie Dotey-Lewis,Jeannemarie Pierson,Vergil Sandifer",15
Pearl River,"Donna L. Singletary,A.G. Crowe,Randy Lawshe,A.G. Crowe,Donna Christopher,Donna L. Singletary,Jane C. Christopher,William Songy,Rebecca L. Becky Crawford,Daniel Glen Zechenelly,Trecia Kennedy,Elton N. Jordan,Floyd Trascher,James Lavigne,Bennie Raynor,Marie Crowe,Ruby Gauley,David McQueen,Virgil R. Phillips,Jay Scroggins",20
Abita Springs,"Alan B. Tusa,Scott Simon,Scott Simon,Adam A. Ackel,Olivia Levie Hannan,Lisa C. King,David M. Mike Davis,Louis Fitzmorris,Sheri Sable Campbell,Troy Dugas,Patricia Edmiston,Greg Lemons,""W. E. Pat Patterson, III""",13
Bogalusa,"Dianne C. Applewhite,Ben Wayne Nevers,Will F. Talley,Dianne C. Applewhite,Stephen Genco,Melvin Keith,Charles E. Mizell,Sally Rosenblum,Marilyn Bailey Crews,Georgine Holcombe,Roger Casama,Ken Wheat,Chuck Nassauer,Andre Johnson,Robert J. Black,Wayne Adams,Paul D. Kates,Eleanor Watson Duke,Raymond E. Mims,Adam Kemp,Robin Simmons,Michael H. Applewhite,Brad Williams,James Mack McGehee,David Merlin Duke,Wendy O'Quin-Perrette,Danny Stogner,Marilyn Bailey Crews,Michael O'Ree,Paul Penton,""Andrew """"Andy"""" Deleon, Jr."",Randy Hodges",32
Franklinton,"Brad Orman,Conrad Chip McVea,Harold L. Ritchie,William J. Bill Burris,William Rusty Knight,Brad Orman,Patsy Ritchie,Maxie C. Gerald,Desmond Deshon Smith,Robert J. Bobby Crowe,Johnny D. Crain,Richard Ned Thomas,Michael Mike Fussell,Greg Route,Aubrey L. Posey,""Karl Buster Bickham, Jr."",""Bruce L. Brown, Sr."",John E. Breland,Dewitt Perry,Lee Alan McCain,Matthew Tate,Darwin Sharp,Billy W. Passman,Jackie Varnado,""Bradford A. Brad Kemp, Sr."",Jack Whaley,Rodney Bond,Terry Morgan,Robert McDaniel,Donald Mizell,Ronnie Nielsen,Robert Stafford,M. Wayne Fleming,""T. J. Butler, Jr."",John L. Daniel,Richard Dillon,Florence Manning,Brad Orman",38
Slidell,"Elsie Palmer Burkhalter,Kenneth Ken Burkhalter,D'Andrea McMooain-Chatman,Shannon Davis,Newell Suzy Andry,Ray Canada,Lee Balinas,Renee McWaters,Jan McAllister,Thomas Rocky Thompson,John O'Neil,Kevin Pearson,Greg Cromer,Richard Rick Swartz,Mary Clemence Devereux,""Ambrose J. Pratt, III"",Newell Suzy Andry,William H. Egan,Kenneth Ken Burkhalter,Michael Goff,Shannon Davis,Lois Link Fallon,Gail Ledet,Elsie Palmer Burkhalter,Wynn Williams,Stephanie H. Berault,Donna Holmes Faucheux,James Jim Shea,Mark Sigur,Kevin G. Barkemeyer,Mary A. Bishop,Peter R. Galvan,Kevin C. Davis,Christopher Chris Canulette,Gene Bellisaro,Steve Stefancik,Jerry Binder,Richard Richie Artigue,Kenneth Ken Burkhalter,James Jim Lamz,Wyatt Williams,Robin Mullett,Robert R. Bob Womack,""James Ronnie Panks, Sr."",John C. Lamarque,Ray Anthony Alfred,Mary K. Bellisario,Tracey Turgeau Powell,Ben Morris,Freddy Drennan,L. Landon Cusimano,Kim Baronet Harbison,Lionel J. Hicks,Richard Rickey Hursey,Warren Crockett,Joe Fraught,Ray Canada,Salvatore A. Sam Caruso,James A. Devereux,""Bill Borchert, Jr.""",60
Covington,"Angelique LaCour,Christopher David Trahan,Matthew Matt Faust,Lester P. Dore,Suzanne Crow,Jack Donahue,John M. Schroder,A. J. Hand,Peter J. Garcia,Martin E. Coady,William J. Will Crain,""Allison Hopkins Penzato,"",Reginald T. Badeaux,Dawn Amacker,Walter P. Reed,Alicia Walker Breaux,""Keith Villere,"",Della Rose Perkins,Ella Selmon,Joan Simon,Pamela B. Egan,Mark Wright,Peter F. Egan,James Hartman,""R. Jack Strain, Jr."",Malise Prieto,Patricia Schwarz Core,John M. Marty Dean,""Martin W. Marty Gould, Jr."",Elizabeth B. Beth Heintz,Michael J. Mike Dirmann,Charles T. Harrell,Charles Wohltmann,Connie G. Moore,P. Wallace Wally Gottschalk,Richard Rick Moore,""Tasso Tiger Taylor, III"",Leonard William Lenel,Candace Watkins,""W. T. Trey Blackall, III"",Matt Faust,Frances R. Dunn,Clarence Romage,Mark Sacco,Martin J. Marty Benoit,Lee S. Alexius",46
Madisonville,"Robert A. Bruno,Sharon Hanzo,Reid Falconer,Gregory B. Badeaux,Blake Pennington,""Peter Gitz, Jr."",Mark D. Badeaux,Jim Bouey,Tim Bounds,Jerry Lange,L. P. Ostendorf",11
Metairie,"Gilda Reed,David Quidd,Arleeta O. Terrell,Jamie Beeson Balser,David Gereighty,Jenny Nee,Michael M. Davis,Meladie Munch,Keith M. Hutchinson,Paul D. Johnston,John Big John Illg,Archie Corder,Vinson J. Vince Serio,Lynn E. Skidmore,""Joseph P. Lopinto, Jr."",Charlotte P. Ruiz,""Roger F. Villere, Jr."",John S. Treen,Monica L. Monica,Keith Rush,Daniel Shanks,David Vitter,Steve Scalise,Fredericka Homberg Wicker,Walter J.Wally Rothschild,Clarence E. McManus,Eric Skrmetta,James Jim Garvey,Julie Quinn,Conrad Appel,Tony Ligi,Joseph Lopinto,""John F. Labruzzo, Jr."",""William C. Credo,"",Robert M. Murphy,Patrick J. McCabe,Hans J. Liljeberg,Ellen Shirer Kovach,""Donald A. Donnie Rowan, Jr."",Nancy A. Miller,June Berry Darensburg,Cornelius E. Conn Regan,""James M. Williams,"",""Paul D. Connick, Jr."",Leonard M. Berins,Brent A. Klibert,David Quidd,Arleeta Terrell,Donald Blum,Gilda Reed,Michael M. Davis,David Gereighty,Fred Ed Matthew,Jenny Nee,Raymond Ray Waguespack,Bob DeViney,John F. LaBruzzo,Polly Thomas,John S. Treen,Jack Rizzuto,Daniel I. Caplan,""William B. Faust, III"",Ray Muniz,Eric Skrmetta,Robert Coach Bob Stevens,Nancy Amato Konrad,Robert E. Treuting,""John F. Young, Jr."",Thomas J. Capella,Cynthia Lee-Sheng,Glenn W. Hayes,Martin B. Marino,Judy M. Colgan,""Charles V. Chuck Cusimano, II"",Dan E. Civello",75
